,Date,nzd_direction,nzd_strength,nzd_trend,tec_direction,tec_strength,tec_trend,lastday_direction,lastday_strength,lastday_trend,vix,weekday,a50_direction,a50_strength,a50_trend
297,2018-05-15,0,0,0,0,1,0,1,1,2,0,1,-1,1,3
298,2018-05-16,0,0,0,-1,2,3,-1,1,3,0,2,0,1,0
299,2018-05-17,1,1,1,1,1,2,0,1,0,0,3,-1,2,2
300,2018-05-18,1,1,1,0,1,0,-1,2,2,0,4,1,3,1
301,2018-05-21,-1,3,3,0,0,0,1,3,1,0,0,0,1,0
302,2018-05-22,1,1,2,0,1,0,0,1,0,0,1,-1,2,3
303,2018-05-23,0,0,0,0,0,0,-1,2,3,0,2,-1,2,3
304,2018-05-24,0,0,0,1,2,2,-1,2,3,0,3,0,1,0
305,2018-05-25,0,0,0,0,1,0,0,1,0,0,4,0,1,0
306,2018-05-28,0,0,0,0,0,0,0,1,0,0,0,1,1,2
307,2018-05-29,0,0,0,0,0,0,1,1,2,0,1,-1,1,1
308,2018-05-30,0,1,0,0,1,0,-1,1,1,1,2,-1,1,1
309,2018-05-31,0,0,0,0,0,0,-1,1,1,0,3,1,3,4
310,2018-06-01,1,1,1,0,1,0,1,3,4,0,4,-1,1,1
311,2018-06-04,0,0,0,1,2,3,-1,1,1,0,0,1,2,3
312,2018-06-05,0,0,0,1,1,1,1,2,3,0,1,0,1,0
313,2018-06-06,0,0,0,0,0,0,0,1,0,0,2,-1,0,1
314,2018-06-07,0,0,0,0,1,0,-1,0,1,0,3,0,1,0
315,2018-06-08,0,0,0,-1,2,2,0,1,0,0,4,-1,2,3
316,2018-06-11,0,0,0,1,1,1,-1,2,3,0,0,1,1,1
317,2018-06-12,-1,0,1,1,1,1,1,1,1,0,1,1,2,3
318,2018-06-13,-1,1,1,1,1,1,1,2,3,0,2,-1,0,1
319,2018-06-14,0,0,0,0,1,0,-1,0,1,0,3,1,1,1
320,2018-06-15,1,1,1,1,1,2,1,1,1,0,4,0,1,0
321,2018-06-18,0,0,0,-1,0,1,0,1,0,0,0,0,0,0
322,2018-06-19,0,0,0,1,1,2,0,0,0,0,1,-1,3,2
323,2018-06-20,0,0,0,1,1,1,-1,3,2,0,2,1,2,1
324,2018-06-21,0,0,0,1,1,2,1,2,1,0,3,1,2,2
325,2018-06-22,1,1,1,-1,1,2,1,2,2,0,4,0,1,0
326,2018-06-25,0,0,0,-1,1,1,0,1,0,0,0,-1,3,1
327,2018-06-26,0,0,0,-1,4,5,-1,3,1,1,1,-1,2,3
328,2018-06-27,0,0,0,1,1,1,-1,2,3,1,2,-1,4,4
