,Date,US30_des,lastday_des,vix,weekday,A300_des
292,2014-03-28,-0xa0,-0xb1,1,4,-0xa1
293,2014-03-31,0xb0,-0xa1,1,0,-0xb1
294,2014-04-01,0xb2,-0xb1,0,1,0xb2
295,2014-04-02,0xb1,0xb2,0,2,0xb1
296,2014-04-03,0xb0,0xb1,0,3,-0xb3
297,2014-04-04,0xa0,-0xb3,0,4,0xb3
298,2014-04-08,-0xb2,0xb3,0,1,0xb3
299,2014-04-09,0xa0,0xb3,1,2,-0xa0
300,2014-04-10,0xb3,-0xa0,1,3,0xb3
301,2014-04-11,-0xb3,0xb3,1,4,0xa1
302,2014-04-14,-0xb2,0xa1,1,0,0xa1
303,2014-04-15,0xb2,0xa1,1,1,-0xb3
304,2014-04-16,0xb1,-0xb3,1,2,0xb1
305,2014-04-17,0xb2,0xb1,1,3,-0xb1
306,2014-04-18,-0xa0,-0xb1,0,4,0xb1
307,2014-04-21,-0xa0,0xb1,0,0,-0xb2
308,2014-04-22,0xb0,-0xb2,0,1,0xb1
309,2014-04-23,0xb1,0xb1,0,2,0xa0
310,2014-04-24,-0xb0,0xa0,0,3,-0xa1
311,2014-04-25,-0xa0,-0xa1,0,4,-0xb3
312,2014-04-28,-0xb2,-0xb3,1,0,-0xb3
313,2014-04-29,0xb1,-0xb3,1,1,0xb3
314,2014-04-30,0xb1,0xb3,0,2,-0xa0
315,2014-05-05,0xb0,-0xa0,0,0,0xa2
316,2014-05-06,0xa1,0xa2,0,1,0xb0
317,2014-05-07,-0xb2,0xb0,0,2,-0xb1
318,2014-05-08,0xb2,-0xb1,0,3,0xa2
319,2014-05-09,0xa0,0xa2,0,4,-0xb0
320,2014-05-12,0xb0,-0xb0,0,0,0xb3
321,2014-05-13,0xb1,0xb3,0,1,-0xb0
322,2014-05-14,0xb0,-0xb0,0,2,-0xa0
323,2014-05-15,-0xb1,-0xa0,0,3,-0xb3
324,2014-05-16,-0xb2,-0xb3,0,4,0xa0
325,2014-05-19,0xb0,0xa0,0,0,-0xb3
326,2014-05-20,0xb0,-0xb3,0,1,-0xb1
327,2014-05-21,-0xb2,-0xb1,0,2,0xb3
328,2014-05-22,0xb2,0xb3,0,3,-0xa2
329,2014-05-23,0xb0,-0xa2,0,4,0xb2
330,2014-05-26,0xb1,0xb2,0,0,-0xb0
331,2014-05-27,0xb1,-0xb0,0,1,-0xb0
332,2014-05-28,0xb1,-0xb0,0,2,0xb2
333,2014-05-29,-0xb0,0xb2,0,3,-0xb2
334,2014-05-30,0xb1,-0xb2,0,4,0xa1
335,2014-06-03,0xb0,0xa1,0,1,-0xb1
336,2014-06-04,-0xb0,-0xb1,0,2,-0xb2
337,2014-06-05,0xb0,-0xb2,0,3,0xb3
338,2014-06-06,0xb1,0xb3,0,4,-0xb1
339,2014-06-09,0xb1,-0xb1,0,0,0xb0
340,2014-06-10,0xb0,0xb0,0,1,0xb2
341,2014-06-11,0xb0,0xb2,0,2,0xb0
342,2014-06-12,-0xb1,0xb0,0,3,-0xa0
343,2014-06-13,-0xb1,-0xa0,0,4,0xb3
344,2014-06-16,0xb0,0xb3,0,0,0xb2
345,2014-06-17,0xb0,0xb2,0,1,-0xb2
346,2014-06-18,0xb0,-0xb2,0,2,-0xb1
347,2014-06-19,0xb1,-0xb1,0,3,-0xb3
348,2014-06-20,0xb0,-0xb3,0,4,0xb1
349,2014-06-23,0xb0,0xb1,0,0,-0xa0
350,2014-06-24,-0xb0,-0xa0,0,1,0xb1
351,2014-06-25,-0xb1,0xb1,0,2,-0xb1
352,2014-06-26,0xb0,-0xb1,0,3,0xb1
353,2014-06-27,-0xa0,0xb1,0,4,0xa0
354,2014-06-30,0xa0,0xa0,0,0,0xb1
355,2014-07-01,-0xb0,0xb1,0,1,-0xb0
356,2014-07-02,0xb2,-0xb0,0,2,0xb0
357,2014-07-03,0xb0,0xb0,0,3,0xb1
358,2014-07-04,0xb1,0xb1,0,4,-0xb0
359,2014-07-07,0xb1,-0xb0,0,0,-0xa0
360,2014-07-08,-0xb0,-0xa0,0,1,0xb0
361,2014-07-09,-0xb1,0xb0,0,2,-0xb3
362,2014-07-10,0xb1,-0xb3,0,3,-0xb0
363,2014-07-11,-0xb1,-0xb0,0,4,0xb1
364,2014-07-14,0xb0,0xb1,0,0,0xb2
365,2014-07-15,0xb1,0xb2,0,1,0xb0
366,2014-07-16,0xa0,0xb0,0,2,-0xa0
367,2014-07-17,0xb1,-0xa0,0,3,-0xb1
368,2014-07-18,-0xb2,-0xb1,0,4,0xb2
369,2014-07-21,0xb2,0xb2,0,0,0xa0
370,2014-07-22,-0xb0,0xa0,0,1,0xb3
371,2014-07-23,0xb0,0xb3,0,2,0xb0
372,2014-07-24,-0xb0,0xb0,0,3,0xb3
373,2014-07-25,-0xb0,0xb3,0,4,0xb2
374,2014-07-28,-0xb2,0xb2,0,0,0xb3
375,2014-07-29,0xa0,0xb3,0,1,0xb0
376,2014-07-30,-0xb1,0xb0,0,2,-0xa1
377,2014-07-31,-0xb0,-0xa1,0,3,0xb3
378,2014-08-01,-0xb3,0xb3,1,4,-0xb1
379,2014-08-04,-0xb1,-0xb1,1,0,0xb3
380,2014-08-05,0xb1,0xb3,1,1,-0xb0
381,2014-08-06,-0xb2,-0xb0,1,2,0xb0
382,2014-08-07,0xa0,0xb0,1,3,-0xb3
383,2014-08-08,-0xb1,-0xb3,1,4,0xa0
384,2014-08-11,0xb3,0xa0,1,0,0xb3
385,2014-08-12,0xb0,0xb3,1,1,-0xa0
386,2014-08-13,-0xb0,-0xa0,1,2,0xa2
387,2014-08-14,0xb1,0xa2,0,3,-0xb2
388,2014-08-15,0xb0,-0xb2,0,4,0xb2
389,2014-08-18,-0xb0,0xb2,0,0,0xb0
390,2014-08-19,0xb2,0xb0,0,1,-0xa0
391,2014-08-20,0xb1,-0xa0,0,2,-0xb0
392,2014-08-21,0xb1,-0xb0,0,3,-0xb1
393,2014-08-22,0xb0,-0xb1,0,4,0xb1
394,2014-08-25,-0xb0,0xb1,0,0,-0xb2
395,2014-08-26,0xb1,-0xb2,0,1,-0xb1
396,2014-08-27,0xb0,-0xb1,0,2,0xa0
397,2014-08-28,0xb0,0xa0,0,3,-0xb2
398,2014-08-29,-0xb0,-0xb2,0,4,0xb2
399,2014-09-01,0xb0,0xb2,0,0,0xb1
400,2014-09-02,0xb0,0xb1,0,1,0xb3
401,2014-09-03,-0xa0,0xb3,0,2,0xb2
402,2014-09-04,0xa0,0xb2,0,3,0xb1
403,2014-09-05,-0xa0,0xb1,0,4,0xb1
404,2014-09-09,0xb1,0xb1,0,1,-0xb0
405,2014-09-10,-0xb1,-0xb0,0,2,-0xa0
406,2014-09-11,0xb0,-0xa0,0,3,-0xb0
407,2014-09-12,-0xb0,-0xb0,0,4,0xb2
408,2014-09-15,-0xb0,0xb2,0,0,0xa0
409,2014-09-16,0xb0,0xa0,0,1,-0xb3
410,2014-09-17,0xb1,-0xb3,0,2,0xb0
411,2014-09-18,0xa0,0xb0,0,3,0xb1
412,2014-09-19,0xb1,0xb1,0,4,0xb1
413,2014-09-22,0xa0,0xb1,0,0,-0xb3
414,2014-09-23,-0xb1,-0xb3,0,1,0xb2
415,2014-09-24,-0xb1,0xb2,1,2,0xb3
416,2014-09-25,0xb2,0xb3,0,3,-0xb1
417,2014-09-26,-0xb3,-0xb1,1,4,0xb0
418,2014-09-29,0xb2,0xb0,1,0,0xa0
419,2014-09-30,-0xb0,0xa0,1,1,-0xb0
420,2014-10-08,-0xa0,-0xb0,1,2,0xb2
421,2014-10-09,0xb3,0xb2,1,3,0xa1
422,2014-10-10,-0xb3,0xa1,1,4,-0xb0
423,2014-10-13,-0xb1,-0xb0,2,0,-0xa1
424,2014-10-14,-0xb3,-0xa1,3,1,-0xa1
425,2014-10-15,-0xa1,-0xa1,3,2,0xb2
426,2014-10-16,-0xb3,0xb2,3,3,-0xa2
427,2014-10-17,-0xa2,-0xa2,3,4,-0xa2
428,2014-10-20,0xb3,-0xa2,2,0,0xb0
429,2014-10-21,0xa0,0xb0,2,1,-0xb2
430,2014-10-22,0xb3,-0xb2,1,2,-0xb1
431,2014-10-23,-0xb2,-0xb1,1,3,-0xb2
432,2014-10-24,0xb3,-0xb2,1,4,-0xb0
433,2014-10-27,0xb2,-0xb0,1,0,-0xb1
434,2014-10-28,0xa0,-0xb1,1,1,0xb3
435,2014-10-29,0xb3,0xb3,1,2,0xb3
436,2014-10-30,-0xa1,0xb3,1,3,0xb2
437,2014-10-31,0xb3,0xb2,1,4,0xb3
438,2014-11-03,0xb2,0xb3,1,0,-0xa0
439,2014-11-04,-0xb0,-0xa0,1,1,0xa0
440,2014-11-05,0xa0,0xa0,1,2,-0xb1
441,2014-11-06,0xb1,-0xb1,1,3,0xa1
442,2014-11-07,0xb1,0xa1,1,4,-0xb0
443,2014-11-10,0xb0,-0xb0,0,0,0xb3
444,2014-11-11,0xb0,0xb3,0,1,-0xb2
445,2014-11-12,-0xb0,-0xb2,0,2,0xb3
446,2014-11-13,0xa0,0xb3,0,3,-0xb1
447,2014-11-14,0xa0,-0xb1,0,4,0xb1
448,2014-11-17,-0xb0,0xb1,0,0,-0xb3
449,2014-11-18,0xb0,-0xb3,1,1,-0xb2
450,2014-11-19,0xb0,-0xb2,0,2,-0xa0
451,2014-11-20,0xa0,-0xa0,1,3,0xb0
452,2014-11-21,0xb0,0xb0,1,4,0xb3
453,2014-11-24,0xb1,0xb3,0,0,0xb3
454,2014-11-25,0xb0,0xb3,0,1,0xb3
455,2014-11-26,-0xb0,0xb3,0,2,0xb2
456,2014-11-27,0xb0,0xb2,0,3,0xb1
457,2014-11-28,0xb0,0xb1,0,4,0xb3
458,2014-12-01,-0xa0,0xb3,0,0,-0xb0
459,2014-12-02,-0xb0,-0xb0,1,1,0xb3
460,2014-12-03,0xb1,0xb3,0,2,0xb3
461,2014-12-04,0xb0,0xb3,0,3,0xb3
462,2014-12-05,-0xa0,0xb3,0,4,-0xb1
463,2014-12-08,0xb0,-0xb1,0,0,0xb3
464,2014-12-09,-0xb1,0xb3,0,1,-0xb3
465,2014-12-10,-0xb0,-0xb3,1,2,0xb3
466,2014-12-11,-0xb3,0xb3,1,3,-0xa2
467,2014-12-12,0xb1,-0xa2,2,4,0xb0
468,2014-12-15,-0xb3,0xb0,2,0,0xb3
469,2014-12-16,-0xb1,0xb3,2,1,0xb3
470,2014-12-17,-0xb1,0xb3,3,2,0xb2
471,2014-12-18,0xb3,0xb2,2,3,-0xb1
