Date,股票代码,名称,Close,High,Low,Open,Volume
2018-09-05,'399300,沪深300,3298.1412,3354.1991,3298.1412,3349.6983,6430188800
2018-09-04,'399300,沪深300,3363.8984,3370.963,3307.9585,3324.186,6708880700
2018-09-03,'399300,沪深300,3321.8248,3325.607,3291.7842,3320.6898,6642985500
2018-08-31,'399300,沪深300,3334.5036,3356.5757,3310.8726,3333.3801,7620563000
2018-08-30,'399300,沪深300,3351.0942,3402.5626,3349.4688,3385.8052,6838529000
2018-08-29,'399300,沪深300,3386.5736,3398.7139,3377.1231,3393.0527,6702040400
2018-08-28,'399300,沪深300,3400.1705,3416.5929,3388.8143,3408.1502,7544536300
2018-08-27,'399300,沪深300,3406.5735,3406.5735,3339.2646,3339.3894,9427008200
2018-08-24,'399300,沪深300,3325.3347,3353.0445,3291.8654,3308.4778,6376589700
2018-08-23,'399300,沪深300,3320.0257,3336.1123,3285.8141,3308.4589,6111233400
2018-08-22,'399300,沪深300,3307.9545,3328.9693,3299.3938,3328.9693,5078705700
2018-08-21,'399300,沪深300,3326.6489,3331.7077,3270.0302,3271.8402,7520558300
2018-08-20,'399300,沪深300,3267.2498,3267.2498,3209.0115,3238.215,7090422800
2018-08-17,'399300,沪深300,3229.6198,3311.5729,3224.0999,3305.8954,6739541300
2018-08-16,'399300,沪深300,3276.7276,3315.2031,3231.5561,3251.8556,7654736600
2018-08-15,'399300,沪深300,3291.976,3372.1369,3288.7088,3371.959,6817405500
2018-08-14,'399300,沪深300,3372.9137,3391.729,3356.6142,3386.4832,6065144600
2018-08-13,'399300,沪深300,3390.3441,3396.1883,3336.6956,3369.9812,7619153200
2018-08-10,'399300,沪深300,3405.0191,3424.0411,3380.5731,3398.4139,6896729900
2018-08-09,'399300,沪深300,3397.5298,3408.3911,3299.6157,3303.4765,9195757200
2018-08-08,'399300,沪深300,3314.5075,3368.1602,3311.7694,3362.1485,7928486500
2018-08-07,'399300,沪深300,3368.8695,3368.962,3263.4986,3284.9785,9178391600
2018-08-06,'399300,沪深300,3273.2728,3344.246,3257.6856,3312.8153,7797508300
2018-08-03,'399300,沪深300,3315.2839,3381.3417,3315.2008,3366.6637,7079691000
2018-08-02,'399300,沪深300,3370.9579,3434.3516,3322.096,3434.3516,10130872700
2018-08-01,'399300,沪深300,3447.3882,3543.606,3446.7765,3530.0298,9034861700
2018-07-31,'399300,沪深300,3517.6568,3528.154,3493.1545,3510.4744,6798081700
2018-07-30,'399300,沪深300,3515.0794,3550.902,3489.5494,3520.8538,8211699500
2018-07-27,'399300,沪深300,3521.2269,3545.4058,3512.7034,3533.7714,7017810400
2018-07-26,'399300,沪深300,3536.2456,3593.9227,3528.6442,3583.3173,9034964100
2018-07-25,'399300,沪深300,3577.7522,3589.9841,3566.314,3589.5055,9675850100
2018-07-24,'399300,沪深300,3581.7057,3596.5128,3530.6641,3530.6641,15691243500
2018-07-23,'399300,沪深300,3525.7503,3527.5335,3464.6475,3471.8555,11903662700
2018-07-20,'399300,沪深300,3492.8938,3505.928,3398.9532,3426.4558,10198472700
2018-07-19,'399300,沪深300,3428.343,3466.5056,3417.9627,3444.8032,6847771600
2018-07-18,'399300,沪深300,3431.3227,3479.2635,3430.1563,3456.6065,6653033000
2018-07-17,'399300,沪深300,3449.3773,3467.1852,3420.9714,3466.4236,6198307600
2018-07-16,'399300,沪深300,3472.0859,3506.2355,3459.7312,3488.967,6828199900
2018-07-13,'399300,沪深300,3492.6897,3499.7643,3474.9123,3488.4966,7295589700
2018-07-12,'399300,沪深300,3481.0559,3499.097,3403.3302,3403.3302,9635356400
2018-07-11,'399300,沪深300,3407.5297,3427.5705,3375.1441,3398.9265,7204095000
2018-07-10,'399300,沪深300,3467.5155,3474.1396,3437.2706,3464.9064,6954882300
2018-07-09,'399300,沪深300,3459.1837,3459.3153,3378.9056,3378.9056,7660154500
2018-07-06,'399300,沪深300,3365.1227,3396.2458,3295.7296,3347.0624,8609757900
